archivo,accion,destino,nuevo_nombre,motivo,bytes,fecha
30711024723_001_00002_00000127.pdf,MOVER,Noreventos,,factura emitida por Noreventos SRL (CUIT 30-71102472-3),56630,2023-12-22
30711024723_001_00002_00000135.pdf,MOVER,Noreventos,,factura emitida por Noreventos SRL (CUIT 30-71102472-3),56660,2024-03-18
30711024723_001_00002_00000148.pdf,MOVER,Noreventos,,factura emitida por Noreventos SRL (CUIT 30-71102472-3),87245,2025-03-12
30711024723_FA_00004_00000493_30716563991.pdf,MOVER,Noreventos,,factura emitida por Noreventos SRL (CUIT 30-71102472-3),60899,2023-12-22
30711024723_FA_00004_00000494_30716563991.pdf,MOVER,Noreventos,,factura emitida por Noreventos SRL (CUIT 30-71102472-3),61000,2023-12-22
30711024723_FA_00004_00000500_30716563991.pdf,MOVER,Noreventos,,factura emitida por Noreventos SRL (CUIT 30-71102472-3),60841,2023-12-22
3167201921_04_2025_factura_29_09_2025-18_23_37.pdf,MOVER,Paseo Nordelta/Principio de mes/Facturas de Compra/Edenor/2025,,Edenor 2025 (a nombre de Noreventos; mismos 14 medidores),630396,2025-12-15
3167201921_05-2025_factura_26_11_2025-22_22_53.pdf,MOVER,Paseo Nordelta/Principio de mes/Facturas de Compra/Edenor/2025,,Edenor 2025 (a nombre de Noreventos; mismos 14 medidores),544302,2025-12-15
3167201921_05_2025_factura_04_11_2025-13_04_03 (1).pdf,BORRAR,,,duplicado exacto (md5) de: 3167201921_05_2025_factura_04_11_2025-13_04_03.pdf,547404,2025-12-15
3167201921_05_2025_factura_04_11_2025-13_04_03.pdf,MOVER,Paseo Nordelta/Principio de mes/Facturas de Compra/Edenor/2025,,Edenor 2025 (a nombre de Noreventos; mismos 14 medidores),547404,2025-11-04
3167201921_2025-02_factura_04_05_2025-10_03_40.pdf,MOVER,Paseo Nordelta/Principio de mes/Facturas de Compra/Edenor/2025,,Edenor 2025 (a nombre de Noreventos; mismos 14 medidores),631188,2025-12-15
3167201921_2025-02_factura_28_05_2025-11_05_44.pdf,MOVER,Paseo Nordelta/Principio de mes/Facturas de Compra/Edenor/2025,,Edenor 2025 (a nombre de Noreventos; mismos 14 medidores),630159,2025-12-15
3167201921_2025-03_factura_08_07_2025-12_28_27.pdf,MOVER,Paseo Nordelta/Principio de mes/Facturas de Compra/Edenor/2025,,Edenor 2025 (a nombre de Noreventos; mismos 14 medidores),630206,2025-12-15
3167201921_2025-04_factura_01_09_2025-03_42_57.pdf,MOVER,Paseo Nordelta/Principio de mes/Facturas de Compra/Edenor/2025,,Edenor 2025 (a nombre de Noreventos; mismos 14 medidores),631309,2025-12-15
3167201921_factura_20_01_2026-15_22_15.pdf,MOVER,Paseo Nordelta/Principio de mes/Facturas de Compra/Edenor/Enero 2026,,"Edenor, bajadas el 20/01/2026",584926,2026-01-20
3167201921_factura_23_02_2026-13_09_13.pdf,MOVER,Paseo Nordelta/Principio de mes/Facturas de Compra/Edenor/Febrero 2026,,"Edenor, bajadas el 23/02/2026",584684,2026-02-23
4375196408_05-2025_factura_15_12_2025-20_18_54.pdf,MOVER,Paseo Nordelta/Principio de mes/Facturas de Compra/Edenor/2025,,Edenor 2025 (a nombre de Noreventos; mismos 14 medidores),584306,2025-12-15
4375196408_factura_20_01_2026-15_22_05.pdf,MOVER,Paseo Nordelta/Principio de mes/Facturas de Compra/Edenor/Enero 2026,,"Edenor, bajadas el 20/01/2026",584206,2026-01-20
4375196408_factura_23_02_2026-13_09_06.pdf,MOVER,Paseo Nordelta/Principio de mes/Facturas de Compra/Edenor/Febrero 2026,,"Edenor, bajadas el 23/02/2026",584191,2026-02-23
4530780143_05-2025_factura_15_12_2025-20_20_57.pdf,MOVER,Paseo Nordelta/Principio de mes/Facturas de Compra/Edenor/2025,,Edenor 2025 (a nombre de Noreventos; mismos 14 medidores),583415,2025-12-15
4530780143_factura_20_01_2026-15_21_49.pdf,MOVER,Paseo Nordelta/Principio de mes/Facturas de Compra/Edenor/Enero 2026,,"Edenor, bajadas el 20/01/2026",583396,2026-01-20
4530780143_factura_23_02_2026-13_09_21.pdf,MOVER,Paseo Nordelta/Principio de mes/Facturas de Compra/Edenor/Febrero 2026,,"Edenor, bajadas el 23/02/2026",583351,2026-02-23
512X771.png,MOVER,Productoras/Astronomy/Eventos/_sin-evento-asignado,,foto/captura de eventos (subagente): Poster Dome Native Beach Club evento (alta),2845471,2026-05-03
5676216164_04_2025_factura_29_09_2025-18_21_32.pdf,MOVER,Paseo Nordelta/Principio de mes/Facturas de Compra/Edenor/2025,,Edenor 2025 (a nombre de Noreventos; mismos 14 medidores),546490,2025-12-15
5676216164_05-2025_factura_26_11_2025-22_16_40.pdf,MOVER,Paseo Nordelta/Principio de mes/Facturas de Compra/Edenor/2025,,Edenor 2025 (a nombre de Noreventos; mismos 14 medidores),544137,2025-12-15
5676216164_05_2025_factura_04_11_2025-13_01_04 (1).pdf,BORRAR,,,duplicado exacto (md5) de: 5676216164_05_2025_factura_04_11_2025-13_01_04.pdf,547229,2025-12-15
5676216164_05_2025_factura_04_11_2025-13_01_04.pdf,MOVER,Paseo Nordelta/Principio de mes/Facturas de Compra/Edenor/2025,,Edenor 2025 (a nombre de Noreventos; mismos 14 medidores),547229,2025-11-04
5676216164_2025-02_factura_28_05_2025-11_13_51.pdf,MOVER,Paseo Nordelta/Principio de mes/Facturas de Compra/Edenor/2025,,Edenor 2025 (a nombre de Noreventos; mismos 14 medidores),546550,2025-12-15
5676216164_2025-03_factura_05_08_2025-08_53_55.pdf,MOVER,Paseo Nordelta/Principio de mes/Facturas de Compra/Edenor/2025,,Edenor 2025 (a nombre de Noreventos; mismos 14 medidores),546604,2025-12-15
5676216164_2025-03_factura_08_07_2025-12_35_56.pdf,MOVER,Paseo Nordelta/Principio de mes/Facturas de Compra/Edenor/2025,,Edenor 2025 (a nombre de Noreventos; mismos 14 medidores),546576,2025-12-15
5676216164_factura_20_01_2026-15_19_07.pdf,MOVER,Paseo Nordelta/Principio de mes/Facturas de Compra/Edenor/Enero 2026,,"Edenor, bajadas el 20/01/2026",584405,2026-01-20
5676216164_factura_23_02_2026-13_08_42.pdf,MOVER,Paseo Nordelta/Principio de mes/Facturas de Compra/Edenor/Febrero 2026,,"Edenor, bajadas el 23/02/2026",584207,2026-02-23
6039738861_05-2025_factura_15_12_2025-20_19_36.pdf,MOVER,Paseo Nordelta/Principio de mes/Facturas de Compra/Edenor/2025,,Edenor 2025 (a nombre de Noreventos; mismos 14 medidores),583888,2025-12-15
6039738861_factura_20_01_2026-15_21_56.pdf,MOVER,Paseo Nordelta/Principio de mes/Facturas de Compra/Edenor/Enero 2026,,"Edenor, bajadas el 20/01/2026",583817,2026-01-20
6039738861_factura_23_02_2026-13_08_57.pdf,MOVER,Paseo Nordelta/Principio de mes/Facturas de Compra/Edenor/Febrero 2026,,"Edenor, bajadas el 23/02/2026",583689,2026-02-23
6612297136_04_2025_factura_29_09_2025-18_24_05.pdf,MOVER,Paseo Nordelta/Principio de mes/Facturas de Compra/Edenor/2025,,Edenor 2025 (a nombre de Noreventos; mismos 14 medidores),525187,2025-12-15
6612297136_05-2025_factura_26_11_2025-22_25_33.pdf,MOVER,Paseo Nordelta/Principio de mes/Facturas de Compra/Edenor/2025,,Edenor 2025 (a nombre de Noreventos; mismos 14 medidores),522563,2025-12-15
6612297136_05_2025_factura_04_11_2025-13_05_30 (1).pdf,BORRAR,,,duplicado exacto (md5) de: 6612297136_05_2025_factura_04_11_2025-13_05_30.pdf,525661,2025-12-15
6612297136_05_2025_factura_04_11_2025-13_05_30.pdf,MOVER,Paseo Nordelta/Principio de mes/Facturas de Compra/Edenor/2025,,Edenor 2025 (a nombre de Noreventos; mismos 14 medidores),525661,2025-11-04
6612297136_2025-02_factura_28_05_2025-11_09_40.pdf,MOVER,Paseo Nordelta/Principio de mes/Facturas de Compra/Edenor/2025,,Edenor 2025 (a nombre de Noreventos; mismos 14 medidores),525078,2025-12-15
6612297136_2025-03_factura_08_07_2025-12_32_42.pdf,MOVER,Paseo Nordelta/Principio de mes/Facturas de Compra/Edenor/2025,,Edenor 2025 (a nombre de Noreventos; mismos 14 medidores),525166,2025-12-15
6612297136_2025-04_factura_01_09_2025-03_45_32.pdf,MOVER,Paseo Nordelta/Principio de mes/Facturas de Compra/Edenor/2025,,Edenor 2025 (a nombre de Noreventos; mismos 14 medidores),526236,2025-12-15
6612297136_factura_20_01_2026-15_22_17.pdf,MOVER,Paseo Nordelta/Principio de mes/Facturas de Compra/Edenor/Enero 2026,,"Edenor, bajadas el 20/01/2026",563625,2026-01-20
6612297136_factura_23_02_2026-13_09_17.pdf,MOVER,Paseo Nordelta/Principio de mes/Facturas de Compra/Edenor/Febrero 2026,,"Edenor, bajadas el 23/02/2026",585045,2026-02-23
6760490872_05-2025_factura_15_12_2025-20_20_16.pdf,MOVER,Paseo Nordelta/Principio de mes/Facturas de Compra/Edenor/2025,,Edenor 2025 (a nombre de Noreventos; mismos 14 medidores),583413,2025-12-15
6760490872_factura_20_01_2026-15_22_03.pdf,MOVER,Paseo Nordelta/Principio de mes/Facturas de Compra/Edenor/Enero 2026,,"Edenor, bajadas el 20/01/2026",583385,2026-01-20
6760490872_factura_23_02_2026-13_08_58.pdf,MOVER,Paseo Nordelta/Principio de mes/Facturas de Compra/Edenor/Febrero 2026,,"Edenor, bajadas el 23/02/2026",583346,2026-02-23
8245959312_04_2025_factura_03_09_2025-11_03_38.pdf,MOVER,Paseo Nordelta/Principio de mes/Facturas de Compra/Edenor/2025,,Edenor 2025 (a nombre de Noreventos; mismos 14 medidores),630945,2025-09-03
8245959312_05-2025_factura_15_12_2025-20_18_19.pdf,MOVER,Paseo Nordelta/Principio de mes/Facturas de Compra/Edenor/2025,,Edenor 2025 (a nombre de Noreventos; mismos 14 medidores),583995,2025-12-15
8245959312_2025-03_factura_08_07_2025-12_42_29.pdf,MOVER,Paseo Nordelta/Principio de mes/Facturas de Compra/Edenor/2025,,Edenor 2025 (a nombre de Noreventos; mismos 14 medidores),546366,2025-12-15
8245959312_factura_20_01_2026-15_22_07.pdf,MOVER,Paseo Nordelta/Principio de mes/Facturas de Compra/Edenor/Enero 2026,,"Edenor, bajadas el 20/01/2026",583783,2026-01-20
8245959312_factura_23_02_2026-13_09_08.pdf,MOVER,Paseo Nordelta/Principio de mes/Facturas de Compra/Edenor/Febrero 2026,,"Edenor, bajadas el 23/02/2026",583795,2026-02-23
8829079121_05-2025_factura_15_12_2025-20_17_39.pdf,MOVER,Paseo Nordelta/Principio de mes/Facturas de Compra/Edenor/2025,,Edenor 2025 (a nombre de Noreventos; mismos 14 medidores),584355,2025-12-15
8829079121_factura_20_01_2026-15_21_59.pdf,MOVER,Paseo Nordelta/Principio de mes/Facturas de Compra/Edenor/Enero 2026,,"Edenor, bajadas el 20/01/2026",562462,2026-01-20
8829079121_factura_23_02_2026-13_08_48.pdf,MOVER,Paseo Nordelta/Principio de mes/Facturas de Compra/Edenor/Febrero 2026,,"Edenor, bajadas el 23/02/2026",583830,2026-02-23
9205718532_05-2025_factura_15_12_2025-20_16_30.pdf,MOVER,Paseo Nordelta/Principio de mes/Facturas de Compra/Edenor/2025,,Edenor 2025 (a nombre de Noreventos; mismos 14 medidores),584318,2025-12-15
9205718532_factura_20_01_2026-15_22_04.pdf,MOVER,Paseo Nordelta/Principio de mes/Facturas de Compra/Edenor/Enero 2026,,"Edenor, bajadas el 20/01/2026",584414,2026-01-20
9205718532_factura_23_02_2026-13_09_00.pdf,MOVER,Paseo Nordelta/Principio de mes/Facturas de Compra/Edenor/Febrero 2026,,"Edenor, bajadas el 23/02/2026",584273,2026-02-23
9335303854_04_2025_factura_29_09_2025-18_23_47.pdf,MOVER,Paseo Nordelta/Principio de mes/Facturas de Compra/Edenor/2025,,Edenor 2025 (a nombre de Noreventos; mismos 14 medidores),546760,2025-12-15
9335303854_05-2025_factura_26_11_2025-22_24_43.pdf,MOVER,Paseo Nordelta/Principio de mes/Facturas de Compra/Edenor/2025,,Edenor 2025 (a nombre de Noreventos; mismos 14 medidores),544123,2025-12-15
9335303854_05_2025_factura_04_11_2025-13_05_09 (1).pdf,BORRAR,,,duplicado exacto (md5) de: 9335303854_05_2025_factura_04_11_2025-13_05_09.pdf,547387,2025-12-15
9335303854_05_2025_factura_04_11_2025-13_05_09.pdf,MOVER,Paseo Nordelta/Principio de mes/Facturas de Compra/Edenor/2025,,Edenor 2025 (a nombre de Noreventos; mismos 14 medidores),547387,2025-11-04
9335303854_2025-02_factura_28_05_2025-11_12_34.pdf,MOVER,Paseo Nordelta/Principio de mes/Facturas de Compra/Edenor/2025,,Edenor 2025 (a nombre de Noreventos; mismos 14 medidores),546490,2025-12-15
9335303854_2025-03_factura_08_07_2025-12_34_25.pdf,MOVER,Paseo Nordelta/Principio de mes/Facturas de Compra/Edenor/2025,,Edenor 2025 (a nombre de Noreventos; mismos 14 medidores),546606,2025-12-15
9335303854_factura_20_01_2026-15_22_16.pdf,MOVER,Paseo Nordelta/Principio de mes/Facturas de Compra/Edenor/Enero 2026,,"Edenor, bajadas el 20/01/2026",584489,2026-01-20
9335303854_factura_23_02_2026-13_09_15.pdf,MOVER,Paseo Nordelta/Principio de mes/Facturas de Compra/Edenor/Febrero 2026,,"Edenor, bajadas el 23/02/2026",584178,2026-02-23
9422455651_04_2025_factura_29_09_2025-18_23_26.pdf,MOVER,Paseo Nordelta/Principio de mes/Facturas de Compra/Edenor/2025,,Edenor 2025 (a nombre de Noreventos; mismos 14 medidores),546455,2025-12-15
9422455651_05_2025_factura_04_11_2025-13_03_07 (1).pdf,BORRAR,,,duplicado exacto (md5) de: 9422455651_05_2025_factura_04_11_2025-13_03_07.pdf,630227,2025-12-15
9422455651_05_2025_factura_04_11_2025-13_03_07.pdf,MOVER,Paseo Nordelta/Principio de mes/Facturas de Compra/Edenor/2025,,Edenor 2025 (a nombre de Noreventos; mismos 14 medidores),630227,2025-11-04
9422455651_2025-02_factura_28_05_2025-11_18_07.pdf,MOVER,Paseo Nordelta/Principio de mes/Facturas de Compra/Edenor/2025,,Edenor 2025 (a nombre de Noreventos; mismos 14 medidores),546794,2025-12-15
9422455651_2025-03_factura_08_07_2025-12_46_38.pdf,MOVER,Paseo Nordelta/Principio de mes/Facturas de Compra/Edenor/2025,,Edenor 2025 (a nombre de Noreventos; mismos 14 medidores),629540,2025-12-15
9422455651_factura_20_01_2026-15_22_14.pdf,MOVER,Paseo Nordelta/Principio de mes/Facturas de Compra/Edenor/Enero 2026,,"Edenor, bajadas el 20/01/2026",584937,2026-01-20
9422455651_factura_23_02_2026-13_09_11.pdf,MOVER,Paseo Nordelta/Principio de mes/Facturas de Compra/Edenor/Febrero 2026,,"Edenor, bajadas el 23/02/2026",583800,2026-02-23
9636966385_factura_20_01_2026-15_22_18.pdf,MOVER,Paseo Nordelta/Principio de mes/Facturas de Compra/Edenor/Enero 2026,,"Edenor, bajadas el 20/01/2026",586374,2026-01-20
9636966385_factura_23_02_2026-13_08_51.pdf,MOVER,Paseo Nordelta/Principio de mes/Facturas de Compra/Edenor/Febrero 2026,,"Edenor, bajadas el 23/02/2026",586271,2026-02-23
ADENDA Contrato de Locación con Destino Comercial-ASTOR - NORDELTA PLAZA.docx,MOVER,Nordelta Plaza/Contratos Locatarios,,contrato / adenda / rescisión de locatario de Nordelta Plaza,12174,2025-04-25
ADENDA Nº1  CONTRATO DE CONCESIÓN FABRIC SRL.pdf,MOVER,Nordelta Plaza/Contratos Locatarios,,contrato / adenda / rescisión de locatario de Nordelta Plaza,127380,2025-12-05
ADENDA Nº1  CONTRATO DE CONCESIÓN RODOLFO SRL - BIGG - TG-ultimo.pdf,BORRAR,,,duplicado exacto (md5) de: ADENDA Nº1  Contrato de concesión - BIGG.pdf,70684,2025-12-05
ADENDA Nº1  Contrato de concesión -  FABRIC SRL.pdf,BORRAR,,,duplicado exacto (md5) de: ADENDA Nº1  CONTRATO DE CONCESIÓN FABRIC SRL.pdf,127380,2023-09-26
ADENDA Nº1  Contrato de concesión - BIGG.pdf,BORRAR,,,ya está archivado en Nordelta Plaza/Contratos Locatarios/…RODOLFO SRL - BIGG - TG-ultimo.pdf (md5 igual),70684,2023-09-26
AFTERMOVIE_BIGFETT_AME_15s.mp4,MOVER,Productoras/Astronomy/Eventos/Boiler Room (Futura:Big Fett) ,,"material Big Fett / Futura, mar 2025",37989386,2025-03-10
AFTERMOVIE_Bigfett_Laroc.mp4,MOVER,Productoras/Astronomy/Eventos/Boiler Room (Futura:Big Fett) ,,"material Big Fett / Futura, mar 2025",45894495,2025-03-10
ANEXO 1.B. _Plano_.pdf,MOVER,Paseo Nordelta/Documentación/Contratos,,contrato / anexo / reglamento del Paseo (MAHNI),296526,2025-11-19
APEX-2.pdf,MOVER,Paseo Nordelta/Documentación/Obra ,,presentación comercial / presupuesto de demolición / fotos de locales / propuesta APEX (wellness),44007236,2025-11-06
ARQUITECTURA_ADMIN.md,BORRAR,,,artefacto de desarrollo; lo que vale está en git,18898,2026-08-04
"AYYBO, Dale Move - Don't Want None (Extended) [GDB RECORDS].mp3",MOVER,Facu/DJ/Sin clasificar,,track suelto,12960574,2026-05-23
Ad Astra IDs,MOVER,Facu/DJ/Musica,,playlist bajada de Drive,279204990,2024-01-31
"Adam Sellouk, Doriann (IL) - Nocturnal (Extended Mix) [Experts Only].mp3",MOVER,Facu/DJ/Sin clasificar,,track suelto,11154487,2026-05-09
Addenda 1 - VOLTA .docx,MOVER,Nordelta Plaza/Contratos Locatarios,,contrato / adenda / rescisión de locatario de Nordelta Plaza,15368,2026-04-28
Addenda 1 - VOLTA.docx,MOVER,Nordelta Plaza/Contratos Locatarios,,contrato / adenda / rescisión de locatario de Nordelta Plaza,15355,2026-03-09
Agrosalta_Carnetbd0a9c0b-9b71-4401-b6db-a5fff78bbad8.pdf,MOVER,Facu/Documentos/Auto NFV983,,"documentación del auto NFV983 (cédula, registro, póliza, RTO, DNI del titular anterior)",48938,2026-02-03
Alq SEPT'23 FdelT-NP.pdf,MOVER,Nordelta Plaza/Principio de mes/Facturas & Rec de Gastos,,factura / recupero de gastos NDPL SAS,55264,2023-10-05
Alumnos Activos - Status - Active Clients.csv,MOVER,Productoras/Astronomy/Academia/Reporte financiero,,export de alumnos / ventas MP,2759,2026-07-14
Amsterdam_Amsterdam_Four_Font_Family_(Fontmirror).zip,BORRAR,,,"fuente bajada en 2022, sin uso conocido",102239,2022-11-11
"An-2, Acos Coolkas - Lazy Sun (Acos Coolkas Remix) [Theomatic].mp3",MOVER,Facu/DJ/Sin clasificar,,track suelto,16911643,2025-12-27
Antigravity.dmg,BORRAR,,,instalador: la app ya está instalada o se baja de nuevo,190845931,2026-08-21
Anyma - Explore Your Future [Afterlife].mp3,MOVER,Facu/DJ/Sin clasificar,,track suelto,8839296,2026-04-07
Arabic Sunset,MOVER,Facu/DJ/Musica,,playlist bajada de Drive,1730452024,2025-03-23
Archivos.zip,MOVER,Facu/Documentos,,tesis / universidad / salud / formulario de alta cliente,132765,2023-05-01
Argentina - Final.mp4,MOVER,Paseo Nordelta/Youtube,,material del canal de YouTube del Paseo (todo del 07/01/2026),1111307286,2026-01-07
Astronomy Closers.pdf,MOVER,Productoras/Astronomy/Academia/Comercial,,job description closers / presupuesto set en vivo,76486,2026-08-04
"Aug 25, 2026, 09_55_03 AM.png",MOVER,Facu/Fotos,,foto personal (subagente): Foto personal balcon terraza atardecer (alta),2162647,2026-08-25
BASE DE DATOS BEFORE.xlsx,MOVER,Productoras/Astronomy/Eventos/_sin-evento-asignado,,material de eventos sin evento identificado (Facu asigna),20844,2026-05-03
BMA_MASTERCARD0004192650720240229.pdf,MOVER,Nordelta Plaza/Comprobantes de pago,,comprobante BBVA / Macro de Nordelta Plaza SAS o Noreventos,176296,2024-03-11
